RowId,Speed_Diff
1,3
2,3
3,3
4,2
5,1
6,1
7,3
8,1
9,2
10,2
11,3
12,3
13,0
14,2
15,2
16,0
17,3
18,0
19,1
20,3
21,3
22,3
23,1
24,3
25,2
26,1
27,2
28,3
29,3
30,0
31,3
32,3
33,0
34,2
35,3
36,3
37,1
38,2
39,0
40,3
41,3
42,3
43,0
44,4
45,0
46,3
47,2
48,3
49,2
50,1
51,3
52,2
53,0
54,2
55,3
56,0
57,0
58,0
59,4
60,3
61,3
62,1
63,3
64,3
65,0
66,3
67,0
68,1
69,0
70,0
71,3
72,1
73,1
74,2
75,0
76,0
77,2
78,3
79,2
80,4
81,3
82,2
83,4
84,3
85,3
86,2
87,3
88,2
89,3
90,2
91,2
92,3
93,3
94,0
95,2
96,3
97,4
98,3
99,3
100,4
101,2
102,2
103,3
104,3
105,2
106,2
107,4
108,0
109,2
110,3
111,3
112,1
113,0
114,0
115,3
116,3
117,2
118,3
119,3
120,4
121,2
122,3
123,3
124,3
125,2
126,0
127,3
128,0
129,2
130,3
131,2
132,1
133,2
134,2
135,4
136,1
137,2
138,2
139,0
140,1
141,3
142,2
143,0
144,0
145,1
146,2
147,0
148,0
149,2
150,1
151,2
152,1
153,3
154,0
155,4
156,2
157,2
158,0
159,2
160,3
161,0
162,0
163,3
164,1
165,2
166,3
167,0
168,3
169,1
170,3
171,3
172,2
173,3
174,3
175,2
176,3
177,2
178,2
179,0
180,1
181,3
182,3
183,3
184,0
185,3
186,3
187,2
188,0
189,2
190,3
191,3
192,1
193,0
194,2
195,3
196,3
197,0
198,2
199,1
200,4
201,3
202,1
203,2
204,3
205,2
206,3
207,0
208,2
209,2
210,3
211,3
212,3
213,0
214,3
215,1
216,1
217,2
218,0
219,0
220,3
221,2
222,3
223,2
224,4
225,0
226,3
227,1
228,0
229,1
230,4
231,3
232,0
233,3
234,3
235,1
236,1
237,3
238,2
239,2
240,3
241,3
242,1
243,0
244,2
245,1
246,0
247,3
248,3
249,2
250,0
251,3
252,3
253,2
254,2
255,0
256,0
257,3
258,3
259,3
260,1
261,3
262,3
263,2
264,0
265,1
266,1
267,2
268,2
269,3
270,1
271,1
272,2
273,2
274,3
275,1
276,3
277,2
278,0
279,3
280,3
281,0
282,3
283,3
284,1
285,3
286,1
287,2
288,3
289,2
290,4
291,3
292,1
293,2
294,4
295,3
296,2
297,1
298,2
299,3
300,3
301,3
302,3
303,3
304,3
305,2
306,2
307,2
308,3
309,3
310,1
311,3
312,2
313,3
314,2
315,3
316,0
317,1
318,2
319,0
320,2
321,1
322,2
323,2
324,2
325,3
326,2
327,1
328,0
329,2
330,1
331,2
332,1
333,3
334,2
335,2
336,4
337,1
338,3
339,0
340,0
341,3
342,3
343,3
344,1
345,1
346,2
347,3
348,3
349,1
350,2
351,2
352,0
353,1
354,4
355,1
356,4
357,3
358,3
359,0
360,0
361,3
362,2
363,3
364,4
365,2
366,0
367,3
368,2
369,3
370,3
371,3
372,2
373,3
374,3
375,3
376,1
377,3
378,3
379,0
380,1
381,2
382,3
383,2
384,2
385,3
386,2
387,3
388,0
389,2
390,1
391,3
392,2
393,0
394,1
395,2
396,3
397,2
398,3
399,1
400,1
401,3
402,0
403,2
404,0
405,3
406,0
407,2
408,3
409,2
410,3
411,3
412,3
413,2
414,3
415,3
416,0
417,3
418,3
419,2
420,3
421,3
422,1
423,0
424,1
425,3
426,3
427,1
428,0
429,0
430,2
431,2
432,0
433,1
434,0
435,2
436,1
437,3
438,1
439,1
440,3
441,0
442,0
443,0
444,0
445,3
446,2
447,3
448,2
449,3
450,0
451,0
452,3
453,3
454,3
455,3
456,1
457,0
458,3
459,3
460,0
461,3
462,1
463,2
464,3
465,3
466,0
467,1
468,1
469,0
470,2
471,2
472,3
473,3
474,3
475,4
476,1
477,2
478,2
479,2
480,0
481,2
482,2
483,3
484,4
485,2
486,3
487,2
488,2
489,3
490,1
491,0
492,3
493,3
494,3
495,0
496,3
497,3
498,1
499,2
500,1
501,3
502,0
503,3
504,3
505,3
506,2
507,3
508,3
509,3
510,1
511,3
512,3
513,2
514,1
515,3
516,3
517,4
518,2
519,4
520,3
521,4
522,1
523,3
524,2
525,0
526,1
527,3
528,3
529,0
530,3
531,4
532,3
533,2
534,1
535,1
536,2
537,0
538,3
539,2
540,1
541,0
542,0
543,3
544,2
545,0
546,1
547,3
548,3
549,0
550,3
551,4
552,2
553,3
554,3
555,0
556,2
557,0
558,3
559,2
560,2
561,2
562,3
563,2
564,3
565,3
566,3
567,2
568,1
569,0
570,3
571,3
572,4
573,4
574,3
575,3
576,2
577,2
578,3
579,1
580,1
581,0
582,2
583,3
584,0
585,4
586,3
587,3
588,2
589,3
590,0
591,2
592,3
593,0
594,1
595,1
596,3
597,3
598,1
599,3
600,3
601,0
602,0
603,1
604,2
605,1
606,2
607,3
608,0
609,0
610,3
611,2
612,3
613,3
